tradeNo,subTradeNo,shopCode
1101087330724342116,1101087330728342116,AntaTBOB
1101087330724342116,1101087330729342116,AntaTBOB
598460132571277693,598460132572277693,AntaTBOB
598460132571277693,598460132573277693,AntaTBOB
598460132571277693,598460132574277693,AntaTBOB
1113835105847890770,1113835105847890770,AntaTBOB
1112773985607920682,1112773985607920682,AntaTBOB
1111140801260431651,1111140801261431651,AntaTBOB
1111140801260431651,1111140801262431651,AntaTBOB
1111140801260431651,1111140801263431651,AntaTBOB
1113477410936593307,1113477410936593307,AntaTBOB
598665511277355497,598665511277355497,AntaTBOB
1113253344468659119,1113253344468659119,AntaTBOB
1118276001605825730,1118276001605825730,AntaTBOB
1120256995087418188,1120256995087418188,AntaTBOB
1101457890545970316,1101457890545970316,AntaTBOB
599250724485152299,599250724485152299,AntaTBOB
1116895331053687646,1116895331053687646,AntaTBOB
598492452632557097,598492452632557097,AntaTBOB
1110304928782611817,1110304928783611817,AntaTBOB
1110304928782611817,1110304928784611817,AntaTBOB
1110304928782611817,1110304928785611817,AntaTBOB
1111847490113869789,1111847490113869789,AntaTBOB
1100348640217221461,1100348640217221461,AntaTBOB
599662885271519293,599662885271519293,AntaTBOB
598587527988679397,598587527988679397,AntaTBOB
1116427585518997778,1116427585518997778,AntaTBOB
1056843905917819036,1056843905917819036,AntaTBOB
599444549463783697,599444549463783697,AntaTBOB
1101357632646967790,1101357632646967790,AntaTBOB
1100455136131066322,1100455136131066322,AntaTBOB
1100576096628600690,1100576096628600690,AntaTBOB
1115379554350617109,1115379554351617109,AntaTBOB
1115379554350617109,1115379554352617109,AntaTBOB
1110287648068564453,1110287648068564453,AntaTBOB
1101353443618068237,1101353443619068237,AntaTBOB
1101353443618068237,1101353443620068237,AntaTBOB
1119969153016424337,1119969153016424337,AntaTBOB
1111109920104676755,1111109920105676755,AntaTBOB
1111109920104676755,1111109920106676755,AntaTBOB
1101393667591313813,1101393667591313813,AntaTBOB
599230854931543495,599230854931543495,AntaTBOB
1113746083582889979,1113746083582889979,AntaTBOB
1114039523239508606,1114039523240508606,AntaTBOB
1114039523239508606,1114039523241508606,AntaTBOB
1114039523239508606,1114039523242508606,AntaTBOB
1118462657734054839,1118462657734054839,AntaTBOB
608474478406965802,608474478406965802,AntaTBOB
1099515776757200352,1099515776757200352,AntaTBOB
1101976514628117882,1101976514628117882,AntaTBOB
1101097409773928967,1101097409773928967,AntaTBOB
1103828801882087475,1103828801882087475,AntaTBOB
1112399617351794852,1112399617351794852,AntaTBOB
1101159266900130532,1101159266901130532,AntaTBOB
1101159266900130532,1101159266902130532,AntaTBOB
966830561253266279,966830561253266279,AntaTBOB
1101173890681592251,1101173890681592251,AntaTBOB
1100479362770146392,1100479362770146392,AntaTBOB
1119806786549943771,1119806786549943771,AntaTBOB
1101293346811255859,1101293346811255859,AntaTBOB
1114382080012676432,1114382080013676432,AntaTBOB
1114382080012676432,1114382080014676432,AntaTBOB
1101492899600029433,1101492899600029433,AntaTBOB
1024720770433360824,1024720770433360824,AntaTBOB
1101524514398453791,1101524514398453791,AntaTBOB
1096876738166074677,1096876738166074677,AntaTBOB
1119808706278950278,1119808706278950278,AntaTBOB
1110910306828946511,1110910306829946511,AntaTBOB
1110910306828946511,1110910306830946511,AntaTBOB
1110910306828946511,1110910306831946511,AntaTBOB
1120018275135282757,1120018275135282757,AntaTBOB
1120037474883750607,1120037474883750607,AntaTBOB
1118928928301296349,1118928928301296349,AntaTBOB
1112205251528388809,1112205251529388809,AntaTBOB
1112205251528388809,1112205251530388809,AntaTBOB
1092467584772658654,1092467584772658654,AntaTBOB
1120257155092886884,1120257155092886884,AntaTBOB
1100543232996438607,1100543232996438607,AntaTBOB
1101176099378601983,1101176099379601983,AntaTBOB
1101176099378601983,1101176099380601983,AntaTBOB
1101176099378601983,1101176099381601983,AntaTBOB
1101176099378601983,1101176099382601983,AntaTBOB
1101176099378601983,1101176099383601983,AntaTBOB
606305166427191300,606305166427191300,AntaTBOB
1115094017966195139,1115094017967195139,AntaTBOB
1115094017966195139,1115094017968195139,AntaTBOB
1101298562334868332,1101298562334868332,AntaTBOB
1120037986962525218,1120037986962525218,AntaTBOB
598450116193911895,598450116193911895,AntaTBOB
599202534829244994,599202534829244994,AntaTBOB
1101201954008919237,1101201954008919237,AntaTBOB
1111778498111812987,1111778498112812987,AntaTBOB
1111778498111812987,1111778498113812987,AntaTBOB
1100643360840173776,1100643360840173776,AntaTBOB
1114494529195482425,1114494529195482425,AntaTBOB
608240558591393505,608240558592393505,AntaTBOB
608240558591393505,608240558593393505,AntaTBOB
608240558591393505,608240558594393505,AntaTBOB
1101050754065810243,1101050754065810243,AntaTBOB
1101072386682423115,1101072386682423115,AntaTBOB
1110852610375846542,1110852610375846542,AntaTBOB
1120254819483705930,1120254819483705930,AntaTBOB
1101232033237544716,1101232033237544716,AntaTBOB
608821391172046003,608821391172046003,AntaTBOB
1101494019973134065,1101494019974134065,AntaTBOB
1101494019973134065,1101494019975134065,AntaTBOB
1112563585194389346,1112563585194389346,AntaTBOB
1110890818259098190,1110890818259098190,AntaTBOB
1119410304921017373,1119410304921017373,AntaTBOB
1118275361667857866,1118275361667857866,AntaTBOB
1112013696175330812,1112013696176330812,AntaTBOB
1112013696175330812,1112013696177330812,AntaTBOB
1083457379989316772,1083457379990316772,AntaTBOB
1083457379989316772,1083457379992316772,AntaTBOB
1083457379989316772,1083457379993316772,AntaTBOB
1083457379989316772,1083457379994316772,AntaTBOB
1083457379989316772,1083457379995316772,AntaTBOB
1093273891382579415,1093273891382579415,AntaTBOB
1098393890499163942,1098393890499163942,AntaTBOB
1114945795676441336,1114945795676441336,AntaTBOB
1100542240403685656,1100542240403685656,AntaTBOB
1099980354135422346,1099980354135422346,AntaTBOB
1110279264854543408,1110279264854543408,AntaTBOB
1107976642978824726,1107976642978824726,AntaTBOB
1110904962348900810,1110904962348900810,AntaTBOB
1100955073809104851,1100955073809104851,AntaTBOB
1110280608596341531,1110280608599341531,AntaTBOB
1114536451392797270,1114536451392797270,AntaTBOB
1111104003278339864,1111104003278339864,AntaTBOB
1101257539908811451,1101257539908811451,AntaTBOB
1100122882686701440,1100122882686701440,AntaTBOB
1113089313528101072,1113089313528101072,AntaTBOB
1101549602170997729,1101549602170997729,AntaTBOB
1112533632389386691,1112533632389386691,AntaTBOB
1115933696346281671,1115933696346281671,AntaTBOB
1101260449519418564,1101260449519418564,AntaTBOB
1101932547719727582,1101932547719727582,AntaTBOB
1116554562285281671,1116554562285281671,AntaTBOB
1083139107854257471,1083139107855257471,AntaTBOB
1083139107854257471,1083139107856257471,AntaTBOB
1111964321368667259,1111964321368667259,AntaTBOB
598465636868232997,598465636870232997,AntaTBOB
1102078721646857255,1102078721646857255,AntaTBOB
1119181920028892732,1119181920028892732,AntaTBOB
598456004776288295,598456004776288295,AntaTBOB
1110876994221743928,1110876994221743928,AntaTBOB
598668039739437696,598668039739437696,AntaTBOB
1080386913286243571,1080386913286243571,AntaTBOB
598857061130995394,598857061130995394,AntaTBOB
1100918593921713915,1100918593921713915,AntaTBOB
1110464416275273308,1110464416275273308,AntaTBOB
1101382401229333315,1101382401229333315,AntaTBOB
1101631875363546988,1101631875364546988,AntaTBOB
1101631875363546988,1101631875365546988,AntaTBOB
1111546339325786387,1111546339325786387,AntaTBOB
1101368899506569653,1101368899506569653,AntaTBOB
1099881953162140786,1099881953162140786,AntaTBOB
1118669634080222807,1118669634080222807,AntaTBOB
599258822461984298,599258822461984298,AntaTBOB
1110300800869970246,1110300800869970246,AntaTBOB
1118349922763058657,1118349922763058657,AntaTBOB
876755392168244247,876755392168244247,AntaTBOB
1112528002999814379,1112528002999814379,AntaTBOB
1070603170800170236,1070603170801170236,AntaTBOB
1106118625857294012,1106118625857294012,AntaTBOB
1100709377355011427,1100709377356011427,AntaTBOB
1100709377355011427,1100709377357011427,AntaTBOB
1101035842894359024,1101035842894359024,AntaTBOB
1100352578421094878,1100352578421094878,AntaTBOB
1118868643270013087,1118868643270013087,AntaTBOB
1111895936387469309,1111895936387469309,AntaTBOB
1119177312948599573,1119177312948599573,AntaTBOB
1119417024035357991,1119417024035357991,AntaTBOB
1101157409487065247,1101157409487065247,AntaTBOB
1119740513029325444,1119740513029325444,AntaTBOB
1101320003680503313,1101320003680503313,AntaTBOB
608177805903993402,608177805903993402,AntaTBOB
598595207372358298,598595207372358298,AntaTBOB
1120256323430046882,1120256323430046882,AntaTBOB
1119043361779587361,1119043361779587361,AntaTBOB
1101365155730410892,1101365155730410892,AntaTBOB
1114413378193685784,1114413378193685784,AntaTBOB
980981089358025317,980981089358025317,AntaTBOB
1119414560388102352,1119414560388102352,AntaTBOB
1112801890600252927,1112801890601252927,AntaTBOB
1112801890600252927,1112801890602252927,AntaTBOB
1112801890600252927,1112801890603252927,AntaTBOB
1112801890600252927,1112801890604252927,AntaTBOB
1112801890600252927,1112801890605252927,AntaTBOB
1100669795860974216,1100669795860974216,AntaTBOB
1101415171880814830,1101415171880814830,AntaTBOB
1114222177656970480,1114222177656970480,AntaTBOB
599379238722189095,599379238722189095,AntaTBOB
1100675872346325376,1100675872346325376,AntaTBOB
1119968801463073683,1119968801463073683,AntaTBOB
1101440259979415472,1101440259979415472,AntaTBOB
1100973728897603047,1100973728897603047,AntaTBOB
608168908509969000,608168908510969000,AntaTBOB
608168908509969000,608168908511969000,AntaTBOB
1114909472190314881,1114909472190314881,AntaTBOB
1105822531323497707,1105822531323497707,AntaTBOB
1120256995338364611,1120256995338364611,AntaTBOB
1090841155479899409,1090841155479899409,AntaTBOB
1110928737345768268,1110928737345768268,AntaTBOB
1101672771931290407,1101672771931290407,AntaTBOB
951647201929203832,951647201929203832,AntaTBOB
598652678576648798,598652678576648798,AntaTBOB
1114569921925210345,1114569921925210345,AntaTBOB
1101277026659774809,1101277026659774809,AntaTBOB
1119971425114748689,1119971425114748689,AntaTBOB
1103123073703824110,1103123073704824110,AntaTBOB
1103123073703824110,1103123073705824110,AntaTBOB
608477677145221703,608477677145221703,AntaTBOB
598468996889763696,598468996889763696,AntaTBOB
599238500003441898,599238500003441898,AntaTBOB
598670535631792796,598670535631792796,AntaTBOB
608248909545699305,608248909545699305,AntaTBOB
1101364224419703419,1101364224419703419,AntaTBOB
1101479491017925360,1101479491017925360,AntaTBOB
1101538594148553667,1101538594148553667,AntaTBOB
1098316448188105278,1098316448188105278,AntaTBOB
1101422274641169545,1101422274642169545,AntaTBOB
1101422274641169545,1101422274643169545,AntaTBOB
1073284288498892540,1073284288498892540,AntaTBOB
1101769635112153468,1101769635112153468,AntaTBOB
1101323394258437073,1101323394258437073,AntaTBOB
1101495681419741261,1101495681419741261,AntaTBOB
1100836064163815086,1100836064164815086,AntaTBOB
1100836064163815086,1100836064165815086,AntaTBOB
1100669281044357315,1100669281044357315,AntaTBOB
1099933600677377047,1099933600678377047,AntaTBOB
1099933600677377047,1099933600679377047,AntaTBOB
1101380609350730036,1101380609351730036,AntaTBOB
1101380609350730036,1101380609352730036,AntaTBOB
1101431586621980548,1101431586622980548,AntaTBOB
1101431586621980548,1101431586623980548,AntaTBOB
1101431586621980548,1101431586624980548,AntaTBOB
1108717409870570865,1108717409870570865,AntaTBOB
607446861401899105,607446861401899105,AntaTBOB
598532453672191295,598532453672191295,AntaTBOB
1100955713563610948,1100955713563610948,AntaTBOB
1108714177607570865,1108714177607570865,AntaTBOB
607507788292784301,607507788292784301,AntaTBOB
598546085986599596,598546085986599596,AntaTBOB
1101115489113798814,1101115489113798814,AntaTBOB
1101254561414932691,1101254561414932691,AntaTBOB
1105027904610497707,1105027904610497707,AntaTBOB
1119972481099727309,1119972481099727309,AntaTBOB
1099793378073534929,1099793378073534929,AntaTBOB
607430861656142104,607430861656142104,AntaTBOB
1064123735135480578,1064123735136480578,AntaTBOB
1064123735135480578,1064123735137480578,AntaTBOB
1101145890655102963,1101145890656102963,AntaTBOB
1101440065907352892,1101440065907352892,AntaTBOB
1101447777127868937,1101447777127868937,AntaTBOB
1110867618908251326,1110867618908251326,AntaTBOB
1101044419860909079,1101044419860909079,AntaTBOB
1101458721166419258,1101458721166419258,AntaTBOB
1099967585669340229,1099967585669340229,AntaTBOB
1101605602302802838,1101605602302802838,AntaTBOB
1114591554857525136,1114591554857525136,AntaTBOB
1101959811921329722,1101959811921329722,AntaTBOB
1119972225100119624,1119972225100119624,AntaTBOB
1064390966852204171,1064390966852204171,AntaTBOB
1112679074910275376,1112679074910275376,AntaTBOB
1119813346127253082,1119813346127253082,AntaTBOB
1101250562531450973,1101250562531450973,AntaTBOB
1111836672240148092,1111836672240148092,AntaTBOB
1112723779768109437,1112723779768109437,AntaTBOB
1101504738942926365,1101504738942926365,AntaTBOB
1113158370082765268,1113158370082765268,AntaTBOB
1112374562220596721,1112374562220596721,AntaTBOB
1112595586276052674,1112595586276052674,AntaTBOB
607659918429524001,607659918429524001,AntaTBOB
1100891842706921536,1100891842707921536,AntaTBOB
1110389792917386074,1110389792917386074,AntaTBOB
1115531075609132882,1115531075609132882,AntaTBOB
1101074625109359431,1101074625110359431,AntaTBOB
1101074625109359431,1101074625111359431,AntaTBOB
1101074625109359431,1101074625112359431,AntaTBOB
1106017026964961472,1106017026964961472,AntaTBOB
1101468067104579035,1101468067104579035,AntaTBOB
1119183360099792871,1119183360099792871,AntaTBOB
1120257667478243873,1120257667478243873,AntaTBOB
598664231131648498,598664231132648498,AntaTBOB
598664231131648498,598664231133648498,AntaTBOB
1099593504871857986,1099593504872857986,AntaTBOB
1099593504871857986,1099593504873857986,AntaTBOB
1099593504871857986,1099593504874857986,AntaTBOB
607447725431761002,607447725431761002,AntaTBOB
1119416640352988071,1119416640352988071,AntaTBOB
1101256066992664169,1101256066992664169,AntaTBOB
1100264128494284049,1100264128494284049,AntaTBOB
1100446400817549773,1100446400817549773,AntaTBOB
1101426755674284524,1101426755675284524,AntaTBOB
1101426755674284524,1101426755676284524,AntaTBOB
1105175328922751927,1105175328923751927,AntaTBOB
1105175328922751927,1105175328924751927,AntaTBOB
1101184289806342214,1101184289806342214,AntaTBOB
1101499425893232755,1101499425893232755,AntaTBOB
1101276769620559289,1101276769620559289,AntaTBOB
1101959587050867210,1101959587050867210,AntaTBOB
1111153027314079276,1111153027314079276,AntaTBOB
1113586176138831365,1113586176139831365,AntaTBOB
1113586176138831365,1113586176140831365,AntaTBOB
1101044386346410984,1101044386346410984,AntaTBOB
1100308418179251927,1100308418179251927,AntaTBOB
1101108227446741266,1101108227446741266,AntaTBOB
1101446274421472883,1101446274421472883,AntaTBOB
1101217666297912056,1101217666297912056,AntaTBOB
598663750421851798,598663750421851798,AntaTBOB
1101643267026325781,1101643267026325781,AntaTBOB
1101358627617470584,1101358627617470584,AntaTBOB
607697103278369201,607697103278369201,AntaTBOB
1115151235285353687,1115151235285353687,AntaTBOB
1101403747694298925,1101403747694298925,AntaTBOB
1101108609933216340,1101108609933216340,AntaTBOB
1101419395777415472,1101419395777415472,AntaTBOB
1088822016066240246,1088822016066240246,AntaTBOB
598766982710924895,598766982710924895,AntaTBOB
1100827200459968748,1100827200460968748,AntaTBOB
1100827200459968748,1100827200461968748,AntaTBOB
1100827200459968748,1100827200462968748,AntaTBOB
1101452609539115982,1101452609539115982,AntaTBOB
1110914626901846374,1110914626901846374,AntaTBOB
1110844416653388040,1110844416653388040,AntaTBOB
599252164002397096,599252164002397096,AntaTBOB
1102915585779652968,1102915585779652968,AntaTBOB
1069880898731216429,1069880898731216429,AntaTBOB
1120839458995204738,1120839458995204738,AntaTBOB
1102979745076712261,1102979745076712261,AntaTBOB
1115122691809332260,1115122691810332260,AntaTBOB
1115122691809332260,1115122691811332260,AntaTBOB
1116254819823328160,1116254819824328160,AntaTBOB
1116254819823328160,1116254819825328160,AntaTBOB
1104182753353345836,1104182753354345836,AntaTBOB
1104182753353345836,1104182753355345836,AntaTBOB
1104182753353345836,1104182753356345836,AntaTBOB
1103333155620953036,1103333155620953036,AntaTBOB
607675598978723002,607675598978723002,AntaTBOB
1110885346310381975,1110885346310381975,AntaTBOB
1103472387648024513,1103472387648024513,AntaTBOB
1120223264428938987,1120223264428938987,AntaTBOB
607810892543182406,607810892543182406,AntaTBOB
607513998574986501,607513998574986501,AntaTBOB
1114257153206859432,1114257153206859432,AntaTBOB
1110868674910524258,1110868674910524258,AntaTBOB
1116506818538850971,1116506818538850971,AntaTBOB
1101439041213627825,1101439041213627825,AntaTBOB
608788622641448702,608788622641448702,AntaTBOB
607759822187658805,607759822187658805,AntaTBOB
1113748096514006149,1113748096515006149,AntaTBOB
1113748096514006149,1113748096516006149,AntaTBOB
1119071395795655450,1119071395795655450,AntaTBOB
607762126111859803,607762126111859803,AntaTBOB
1119187136474706380,1119187136474706380,AntaTBOB
1115836771418311130,1115836771418311130,AntaTBOB
1102098560976731018,1102098560977731018,AntaTBOB
1102098560976731018,1102098560978731018,AntaTBOB
1102098560976731018,1102098560979731018,AntaTBOB
1111123394122226255,1111123394122226255,AntaTBOB
951483170788266279,951483170788266279,AntaTBOB
1111149826271795976,1111149826271795976,AntaTBOB
1101880160174812358,1101880160174812358,AntaTBOB
1102411776104286772,1102411776104286772,AntaTBOB
1102493058069621169,1102493058069621169,AntaTBOB
1102547392963722439,1102547392963722439,AntaTBOB
1102592161006114252,1102592161006114252,AntaTBOB
1090525152461967566,1090525152462967566,AntaTBOB
1090525152461967566,1090525152463967566,AntaTBOB
1090525152461967566,1090525152464967566,AntaTBOB
1090525152461967566,1090525152465967566,AntaTBOB
1102600000589366158,1102600000589366158,AntaTBOB
1110260192118628923,1110260192118628923,AntaTBOB
1102846561670988245,1102846561670988245,AntaTBOB
1111090179544064819,1111090179544064819,AntaTBOB
1099634304140367622,1099634304140367622,AntaTBOB
1112913601786412483,1112913601786412483,AntaTBOB
1116375362240001717,1116375362241001717,AntaTBOB
1116375362240001717,1116375362242001717,AntaTBOB
1116375362240001717,1116375362243001717,AntaTBOB
1102952129998664530,1102952129998664530,AntaTBOB
1106977794555880966,1106977794555880966,AntaTBOB
1111677602168051328,1111677602168051328,AntaTBOB
1118555363414030988,1118555363414030988,AntaTBOB
1113978016205754309,1113978016205754309,AntaTBOB
1103099075369937549,1103099075370937549,AntaTBOB
1103099075369937549,1103099075371937549,AntaTBOB
1099572576666981539,1099572576666981539,AntaTBOB
1118926528869439228,1118926528869439228,AntaTBOB
1103154273177691607,1103154273177691607,AntaTBOB
1119744705632308326,1119744705632308326,AntaTBOB
1108061152079678434,1108061152079678434,AntaTBOB
1099714976894444370,1099714976894444370,AntaTBOB
1101665793667447023,1101665793668447023,AntaTBOB
1101665793667447023,1101665793669447023,AntaTBOB
1101665793667447023,1101665793670447023,AntaTBOB
1101665793667447023,1101665793671447023,AntaTBOB
608601388872115301,608601388872115301,AntaTBOB
1112707651306533792,1112707651306533792,AntaTBOB
598662149579731896,598662149580731896,AntaTBOB
598662149579731896,598662149581731896,AntaTBOB
598662149579731896,598662149582731896,AntaTBOB
1100663264491311236,1100663264491311236,AntaTBOB
607790575568281503,607790575568281503,AntaTBOB
1112469282135327936,1112469282135327936,AntaTBOB
1115461409569231971,1115461409570231971,AntaTBOB
1115461409569231971,1115461409571231971,AntaTBOB
1115461409569231971,1115461409572231971,AntaTBOB
1115461409569231971,1115461409573231971,AntaTBOB
1115461409569231971,1115461409574231971,AntaTBOB
1120024707895272507,1120024707895272507,AntaTBOB
1080494338690395921,1080494338690395921,AntaTBOB
1111147139062881074,1111147139062881074,AntaTBOB
1119972641954190977,1119972641954190977,AntaTBOB
1102367296596460238,1102367296596460238,AntaTBOB
1115114496757771639,1115114496757771639,AntaTBOB
1106237504787874165,1106237504787874165,AntaTBOB
598526436581676694,598526436581676694,AntaTBOB
1102942082885426769,1102942082885426769,AntaTBOB
1103456928856088850,1103456928856088850,AntaTBOB
608821743370167002,608821743370167002,AntaTBOB
1103130563326354809,1103130563326354809,AntaTBOB
1099763392848254714,1099763392848254714,AntaTBOB
1119560002648546436,1119560002648546436,AntaTBOB
1096791361240512359,1096791361240512359,AntaTBOB
1102881795938197572,1102881795939197572,AntaTBOB
1102881795938197572,1102881795940197572,AntaTBOB
1102881795938197572,1102881795941197572,AntaTBOB
1101321921762479353,1101321921763479353,AntaTBOB
1101321921762479353,1101321921764479353,AntaTBOB
1101321921762479353,1101321921765479353,AntaTBOB
1101806400826757492,1101806400826757492,AntaTBOB
1103028418903128907,1103028418903128907,AntaTBOB
1112994209742842461,1112994209745842461,AntaTBOB
1114928449721800267,1114928449722800267,AntaTBOB
1114928449721800267,1114928449723800267,AntaTBOB
1113285762110756146,1113285762111756146,AntaTBOB
1113285762110756146,1113285762112756146,AntaTBOB
1113285762110756146,1113285762113756146,AntaTBOB
1113285762110756146,1113285762114756146,AntaTBOB
1096838659269191811,1096838659269191811,AntaTBOB
1103245411858385838,1103245411858385838,AntaTBOB
1100943969225661780,1100943969225661780,AntaTBOB
